,This review is about...,data privacy,security features,app installation,registration,loading speed,feature accessibility,ads,maintenance,transaction speed,transaction approval,transaction legitimacy,transaction fees,transaction flexibility,customer service,user friendliness,loan interest,savings interest,leniency,user incentives
0,maintenance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"customer service, scam",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,"loan interest, leniency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"user friendliness, loan interest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,"transaction speed, user friendliness, loan interest",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
9,transcaction speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"user friendliness, transaction speed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"transaction flexibility, user friendliness",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
15,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"user friendliness, feature accessibility, customer service",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
26,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,"user friendliness,  transaction flexibility",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,leniency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,"transaction speed, customer service",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
33,customer service ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,"user friendliness, transaction speed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
38,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,"app installation, user friendliness",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,leniency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,savings interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,"loan interest, leniency, customer service",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
50,"loan interest, customer service",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
51,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,data privacy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,"transaction fees, user friendliness, feature accessibility",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
57,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,"loan interest, leniency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
60,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"app installation, security features",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,"data privacy, loan interest",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"feature accessibility, transaction speed",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,"user friendliness, transaction speed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
77,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,maintenance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,"registration, customer service",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,"user friendliness, registration, customer service",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
86,"user friendliness, transaction speed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
87,"loading speed, customer service",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,"transaction flexibility, feature accessibility",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
89,leniency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,"transaction legitimacy, transaction approval",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
91,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"user friendliness, transaction flexibility",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
96,"user friendliness, transaction flexibility",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
97,leniency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,leniency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,"security features, transaction speed",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
