google translate review_text_value,review_text,review_rating,review_likes,application_id,review_datetime_utc,constructive,constructive_review,This review is about...
Always have a system maintenance,Always have a system maintenance,1,0,com.dwidasa.cb.mb.android,2023-06-08 08:41:10,1,1,maintenance
"This app is so disgusting, super disgusting, the employees here are very rude, there is no professionalism when it comes to the client and the interest is very high for a week, the 90 days to 121 days is not true, this app is ridiculous, this app will only make you more in debt instead of helping, and their app is rotten... Don't try this app.",This app is so disgusting super disgusting ang mga employee dito napaka rude walang professionalism when it comes to client at napakataas ng interest for a week hindi totoo ang 90 days to 121 days kalokohan itong app na ito lalo ka lang babaunin sa utang imbis makatulong tapos ang app pa nila bulok... Wag na wag nyong subukan sa app na ito,1,0,com.wow.pera,2023-06-04 03:20:07,1,1,"customer service, scam"
Very easy to use👍👍,Very easy to use👍👍,5,1,ph.com.gotyme,2023-05-31 03:20:32,1,1,user friendliness
"The best lending app ever..minimal interest, and even if you passed the due date they would still increase your cl if you would pay it, Plentina is a big help, Thank you Plentina😊","The best loaning app ever..minimal interest, and even if you passed the due date they would still increase your cl if you would pay it, laking tulong ni Plentina, Thank you Plentina😊",5,7,com.plentina.app,2022-10-07 21:21:32,1,1,"loan interest, leniency"
Great app and easy to apply,Great app and easy to apply,5,0,loan.weloanpro.kbxj,2023-06-19 03:20:23,1,1,user friendliness
"Low budget app. Whenever salary came, app issues came along with it. Please upgrade your trash app.","Low budget app. Whenever salary came, app issues came along with it. Please upgrade your trash app.",1,0,com.securitybank.online,2023-06-29 10:03:21,1,1,feature accessibility
thank you cash the best lending app so far.. easy step and low interest..,thank you Mr. cash the best lending app so far.. easy step and low interest..,5,0,u.money.spend,2023-09-09 06:47:13,1,1,"user friendliness, loan interest"
"Very fast indeed. Team, keep it up and kindly share your email address or any working calling numbers privately. Thanks, very nice service","Very fast totoo ngang . Team, keep it up and kindly share your email address or any working calling numbers privately. Thanks, very nice service",5,6,com.wow.pera,2023-08-09 08:08:00,1,1,transaction speed
"Borrowing money is a must-have software for mobile phone loans and borrowing money. Loans and borrowing money are really easy, the operation is simple, the review is very fast, and the interest rate is low. It's really great","Borrowing money is a must-have software for mobile phone loans and borrowing money. Loans and borrowing money are really easy, the operation is simple, the review is very fast, and the interest rate is low. It's really great",3,1,com.peramoo,2023-08-15 18:01:49,1,1,"transaction speed, user friendliness, loan interest"
fast loan. fast payment schedule.,fast loan. fast payment schedule.,5,0,com.liang.chan,2023-07-26 07:28:15,1,1,transcaction speed
Easy to use and fast to register,Easy to used and fast to register,5,0,com.aub.hellopagibig,2022-07-15 20:22:04,1,1,"user friendliness, transaction speed"
"Managed to do account enrollment however the eSS isn't yet an available feature. Always has the ""high volume traffic"" login error after the 11/14/2022 update.","Managed to do account enrolment however the eSS isn't yet an available feature. Always has the ""high volume traffic"" login error after the 11/14/2022 update.",1,0,com.securitybank.online,2022-11-24 04:40:31,1,1,feature accessibility
Easiest way to lend money when you need it the most. Thanks monery,Easiest way to lend money when you needed it the most. Thanks monery,5,3,io.breezeventures.mb,2023-03-16 20:05:41,1,1,transaction speed
Always showing an error like what the!! Improve this up this not a friendly user😤😤😤 Bad apps!!!!!!😤😤😤😤,Always showing an error like what the!! Improve this up this not a friendly user😤😤😤 Bwesit na apps to!!!!!!😤😤😤😤,1,0,com.securitybank.online,2022-11-10 06:51:54,1,1,feature accessibility
Very useful & easy to use..,Very useful & easy to use..,5,0,com.aub.hellopagibig,2022-09-07 01:47:11,1,1,"transaction flexibility, user friendliness"
"What is the error about your app preventing me to change my device for security reasons? That's why you sent OTP right? What else is that for, decoration? I reinstalled the app to no avail. I called your hotline and was told that he will escalate my issue and there is no turn around time for a resolution. Get your act together, EastWest. I'm too lazy to email BSP, because I can't expect any action from them either. Jusqo","Anong kaputahang error to about your app preventing me to change my device for security reasons? Kaya nga nag send kayo ng OTP diba? Para saan pa yun, palamuti? I reinstalled the app to no avail. I called your hotline and was told that he will escalate my issue and there is no turn around time for a resolution. Get your act together, EastWest. Tinatamad ako mag email kay BSP, dahil wala naman din ako maaasahan na aksyon sa kanila. Jusqo",1,4,ph.komo.app,2022-06-15 02:13:02,1,1,security features
This application makes things hard. Even the simple process of transferring money it keeps saying wrong passcode even though it's the right one. Now im encouraging everyone in my family to switch to a better bank that has better applications.,This application make things hard. Even the simple process of transferring money it keeps saying wrong passcode even though it's the right one. Now im encouraging everyone in my family to switch to better bank that has a better applications.,1,0,ph.com.metrobank.mcc.mbonline,2023-09-24 20:57:46,1,1,security features
Easy to use.. nice apps,Easy to use.. nice apps,5,0,com.plentina.app,2022-04-22 14:16:14,1,1,user friendliness
"These apps are very good, they really help and the process is fast, thank you, Plantina.","sobrang Ganda Ng apps na to mkakatulong talaga at Ang bilis pa mg process,slamat plentina.",5,0,com.plentina.app,2023-08-10 14:18:08,1,1,transaction speed
"Useful app, and it helps in times of emergency","Useful app,and it helps in times of emergency",5,0,com.mocasa.ph,2023-09-18 16:07:09,1,1,transaction speed
I'm happy coz it's easy to apply and fast approval now than before.,I'm happy coz it easy to apply and fast approval now than before.,5,0,com.tonik.mobile,2023-08-04 09:10:56,1,1,transaction speed
This app is always giving error about connection even if our internet was doing fine. Can you please fix this we can't use it especially on the time we need it.,This app is always give error about connection even if our internet was doing fine. Can you please fix this we can't use it specially on the time we need it.,1,0,com.securitybank.online,2022-11-15 07:54:04,1,1,loading speed
Always crashing and not user friendly,Always crashing and not user friendly,1,0,ph.com.psbankonline,2022-10-28 15:53:43,1,1,user friendliness
Please check the current installation file. It looks like it is not working. It is saying that it is an emulator. Update now working.,Please check current installation file. It looks like it is not working. It is saying that it is an emulator. Update now working.,3,0,ph.com.psbankonline,2019-09-20 05:26:57,1,1,app installation
"why it keeps telling me try again later?.it seems like theres always have a problem with my app..i cant check my balance,i cant do payments..what the hell happening to this app","why it keeps telling me try again later?.it seems like theres always have a problem with my app..i cant check my balance,i cant do payments..what the hell happening to this app",5,0,www.mobile.bdo.com.ph,2023-07-08 00:13:37,1,1,feature accessibility
"It's okay, the app is a bit not that good for me unlike other banks. It's more like an old version, I hope they update it to be more convenient. Also, I've experienced struggle upon the issuance of debit cards. They said that my application and request did not appear, so they made me repeat the whole process at the branch itself, then the card that was given was without a name and was scratched. Although the other staffs are nice.","Okay naman, medyo di lang ganun kaganda for me yung app unlike sa other banks. It's more like an old version, I hope they update it to be more convenient. Also, I've experienced struggle upon the issuance of debit card. Di raw nagappear yung application ko at request ko kaya pinaulit sakin yung whole process sa mismong branch then yung binigay na card is walang name and puro gasgas. Although yung ibang staffs naman ay mabait.",3,0,com.rcbc.mobilebanking,2022-06-01 18:39:34,1,1,"user friendliness, feature accessibility, customer service"
It's very fast to borrow from Mr cash as long as you pay it on time there will be no problem thank you Mr cash my bills will be paid,Napaka bilis maka Hiram sa Kay Mr cash basta on-time mo talaga sya babayaran walang magiging problema thank you Mr cash mababayaran kuna UNG bills KO,5,0,u.money.spend,2023-08-11 09:05:39,1,1,transaction speed
