,data privacy,security features,app installation,registration,loading speed,feature accessibility,ads,maintenance,transaction speed,transaction approval,transaction legitimacy,transaction fees,transaction flexibility,customer service,user friendliness,loan interest,savings interest,leniency,user incentives,review_rating
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3
26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
32,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
56,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5
57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
64,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
74,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
84,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
85,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5
87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
88,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
101,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
104,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5
109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,5
113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4
115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
122,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
127,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
142,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
152,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,5
